"Age","BusinessTravel","Department","DistanceFromHome","Education","EducationField","Application ID","EnvironmentSatisfaction","Gender","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","EmployeeSource","Attrition.cat"
33,"Travel_Frequently","Research & Development",3,"4","Life Sciences",123510,"4","Female","3","1","Research Scientist","3","Married",2909,2,"Yes",11,"3","3","0",8,3,"3",8,7,3,0,"Seek","Stay"
30,"Travel_Rarely","Human Resources",9,"3","Medical",123511,"1","Female","3","1","Research Scientist","3","Married",2909,3,"Yes",11,"4","3","0",8,3,"3",8,7,3,0,"Seek","Stay"
30,"Travel_Rarely","Human Resources",9,"3","Human Resources",123512,"1","Female","3","1","Research Scientist","3","Married",2909,1,"Yes",11,"3","3","0",8,3,"3",8,7,3,0,"Seek","Stay"
30,"Travel_Rarely","Human Resources",9,"3","Medical",123513,"1","Female","3","1","Research Scientist","3","Married",2909,3,"Yes",11,"3","3","0",8,3,"3",8,7,3,0,"Company Website","Stay"
33,"Travel_Frequently","Research & Development",3,"4","Life Sciences",123514,"4","Female","3","1","Research Scientist","3","Married",2909,1,"Yes",11,"3","3","0",8,3,"3",8,7,3,0,"Seek","Stay"
33,"Travel_Frequently","Research & Development",3,"4","Life Sciences",123515,"4","Female","3","1","Research Scientist","3","Married",2909,2,"Yes",11,"3","3","0",8,3,"3",8,7,3,0,"Seek","Stay"
33,"Travel_Frequently","Research & Development",3,"4","Life Sciences",123516,"4","Female","3","1","Research Scientist","3","Married",2909,1,"Yes",11,"3","3","0",8,3,"3",8,7,3,0,"Seek","Stay"
33,"Travel_Frequently","Research & Development",3,"4","Life Sciences",123517,"2","Male","3","1","Research Scientist","1","Married",2194,4,"No",13,"3","4","1",5,2,"2",3,2,1,2,"Company Website","Stay"
33,"Travel_Frequently","Research & Development",3,"4","Life Sciences",123518,"1","Female","3","1","Sales Representative","2","Single",3202,1,"Yes",16,"4","2","0",6,4,"3",5,3,1,4,"Company Website","Stay"
30,"Travel_Rarely","Human Resources",9,"3","Human Resources",123519,"1","Female","3","1","Research Scientist","3","Married",2909,1,"Yes",11,"3","3","0",8,3,"3",8,7,3,0,"Seek","Stay"
33,"Travel_Frequently","Research & Development",3,"4","Life Sciences",123520,"4","Female","3","1","Research Scientist","3","Married",2909,2,"Yes",11,"3","3","0",8,3,"3",8,7,3,0,"Seek","Stay"
30,"Travel_Rarely","Human Resources",9,"3","Medical",123521,"1","Female","3","1","Research Scientist","3","Married",2909,3,"Yes",11,"4","3","0",8,3,"3",8,7,3,0,"Seek","Stay"
30,"Travel_Rarely","Human Resources",9,"3","Human Resources",123522,"1","Female","3","1","Research Scientist","3","Married",2909,1,"Yes",11,"3","3","0",8,3,"3",8,7,3,0,"Seek","Stay"
30,"Travel_Rarely","Human Resources",9,"3","Medical",123523,"1","Female","3","1","Research Scientist","3","Married",2909,3,"Yes",11,"3","3","0",8,3,"3",8,7,3,0,"Company Website","Stay"
33,"Travel_Frequently","Research & Development",3,"4","Life Sciences",123524,"4","Female","3","1","Research Scientist","3","Married",2909,1,"Yes",11,"3","3","0",8,3,"3",8,7,3,0,"Seek","Stay"
33,"Travel_Frequently","Research & Development",3,"4","Life Sciences",123525,"4","Female","3","1","Research Scientist","3","Married",2909,2,"Yes",11,"3","3","0",8,3,"3",8,7,3,0,"Seek","Stay"
27,"Travel_Rarely","Research & Development",2,"1","Medical",123526,"1","Male","3","1","Laboratory Technician","2","Married",3468,9,"No",12,"3","4","1",6,3,"3",2,2,2,2,"Seek","Stay"
31,"Travel_Rarely","Human Resources",2,"3","Human Resources",123527,"1","Male","3","1","Laboratory Technician","2","Married",3468,9,"No",12,"3","4","1",6,3,"3",2,2,2,2,"Seek","Stay"
27,"Travel_Rarely","Research & Development",2,"1","Life Sciences",123528,"1","Male","3","1","Laboratory Technician","2","Married",3468,1,"No",12,"4","4","1",6,3,"3",2,2,2,2,"Seek","Stay"
31,"Travel_Rarely","Human Resources",2,"3","Life Sciences",123529,"1","Male","3","1","Laboratory Technician","2","Married",3468,1,"No",12,"3","4","1",6,3,"3",2,2,2,2,"Seek","Stay"
27,"Travel_Rarely","Research & Development",2,"1","Medical",123530,"1","Male","3","1","Laboratory Technician","2","Married",3468,9,"No",12,"3","4","1",6,3,"3",2,2,2,2,"Indeed","Stay"
27,"Travel_Rarely","Research & Development",2,"1","Life Sciences",123531,"1","Male","3","1","Laboratory Technician","2","Married",3468,1,"No",12,"3","4","1",6,3,"3",2,2,2,2,"Seek","Stay"
31,"Travel_Rarely","Human Resources",2,"3","Human Resources",123532,"1","Male","3","1","Laboratory Technician","2","Married",3468,9,"No",12,"3","4","1",6,3,"3",2,2,2,2,"Seek","Stay"
31,"Travel_Rarely","Human Resources",2,"3","Life Sciences",123533,"1","Male","3","1","Laboratory Technician","2","Married",3468,1,"No",12,"3","4","1",6,3,"3",2,2,2,2,"Seek","Stay"
27,"Travel_Rarely","Research & Development",2,"1","Medical",123534,"1","Male","3","1","Laboratory Technician","2","Married",3468,9,"No",12,"3","4","1",6,3,"3",2,2,2,2,"Seek","Stay"
27,"Travel_Rarely","Research & Development",2,"1","Medical",123535,"4","Male","2","1","Research Scientist","3","Married",3388,0,"Yes",17,"3","1","1",2,0,"2",1,0,0,0,"Company Website","Stay"
58,"Travel_Rarely","Sales",10,"4","Medical",123536,"1","Male","3","1","Laboratory Technician","2","Married",3468,0,"No",13,"3","3","0",38,1,"2",37,10,1,8,"Adzuna","Stay"
27,"Travel_Rarely","Research & Development",2,"1","Medical",123538,"4","Female","1","1","Sales Representative","3","Divorced",2351,0,"No",16,"4","4","1",3,3,"2",2,2,1,0,"Company Website","Stay"
25,"Travel_Rarely","Sales",13,"1","Medical",123539,"1","Male","3","1","Laboratory Technician","2","Married",3468,1,"No",11,"4","3","0",7,1,"3",7,4,0,6,"Company Website","Stay"
31,"Travel_Rarely","Human Resources",2,"3","Human Resources",123540,"1","Male","3","1","Laboratory Technician","2","Married",3468,9,"No",12,"3","4","1",6,3,"3",2,2,2,2,"Seek","Stay"
31,"Travel_Rarely","Sales",8,"2","Life Sciences",123542,"1","Male","3","1","Laboratory Technician","2","Married",3468,4,"No",12,"4","2","2",8,2,"4",3,2,1,2,"GlassDoor","Stay"
27,"Travel_Rarely","Research & Development",2,"1","Life Sciences",123543,"1","Male","3","1","Laboratory Technician","2","Married",3468,1,"No",12,"4","4","1",6,3,"3",2,2,2,2,"Seek","Stay"
31,"Travel_Rarely","Human Resources",2,"3","Life Sciences",123544,"1","Male","3","1","Laboratory Technician","2","Married",3468,1,"No",12,"3","4","1",6,3,"3",2,2,2,2,"Seek","Stay"
27,"Travel_Rarely","Research & Development",2,"1","Medical",123545,"1","Male","3","1","Laboratory Technician","2","Married",3468,9,"No",12,"3","4","1",6,3,"3",2,2,2,2,"Indeed","Stay"
27,"Travel_Rarely","Research & Development",2,"1","Life Sciences",123546,"1","Male","3","1","Laboratory Technician","2","Married",3468,1,"No",12,"3","4","1",6,3,"3",2,2,2,2,"Seek","Stay"
31,"Travel_Rarely","Human Resources",2,"3","Human Resources",123547,"1","Male","3","1","Laboratory Technician","2","Married",3468,9,"No",12,"3","4","1",6,3,"3",2,2,2,2,"Seek","Stay"
31,"Travel_Rarely","Human Resources",2,"3","Life Sciences",123548,"1","Male","3","1","Laboratory Technician","2","Married",3468,1,"No",12,"3","4","1",6,3,"3",2,2,2,2,"Seek","Stay"
32,"Travel_Frequently","Research & Development",2,"2","Life Sciences",123549,"4","Male","3","1","Laboratory Technician","4","Single",3068,0,"No",13,"3","3","0",8,2,"2",7,7,3,6,"Seek","Stay"
34,"Travel_Frequently","Human Resources",23,"3","Human Resources",123550,"1","Male","3","1","Laboratory Technician","4","Single",3068,0,"No",13,"3","3","0",8,2,"2",7,7,3,6,"Seek","Left"
32,"Travel_Frequently","Research & Development",2,"2","Life Sciences",123551,"4","Male","3","1","Laboratory Technician","4","Single",3068,1,"No",13,"3","3","0",8,2,"2",7,7,3,6,"Seek","Stay"
34,"Travel_Frequently","Human Resources",23,"3","Other",123552,"1","Male","3","1","Laboratory Technician","4","Single",3068,1,"No",13,"3","3","0",8,2,"2",7,7,3,6,"Seek","Left"
32,"Travel_Frequently","Research & Development",2,"2","Life Sciences",123553,"4","Male","3","1","Laboratory Technician","4","Single",3068,0,"No",13,"3","3","0",8,2,"2",7,7,3,6,"Seek","Stay"
32,"Travel_Frequently","Research & Development",2,"2","Life Sciences",123554,"4","Male","3","1","Laboratory Technician","4","Single",3068,1,"No",13,"3","3","0",8,2,"2",7,7,3,6,"Seek","Stay"
34,"Travel_Frequently","Human Resources",23,"3","Human Resources",123555,"1","Male","3","1","Laboratory Technician","4","Single",3068,0,"No",13,"3","3","0",8,2,"2",7,7,3,6,"Seek","Left"
34,"Travel_Frequently","Human Resources",23,"3","Other",123556,"1","Male","3","1","Laboratory Technician","4","Single",3068,1,"No",13,"3","3","0",8,2,"2",7,7,3,6,"Seek","Left"
32,"Travel_Frequently","Research & Development",2,"2","Life Sciences",123557,"4","Male","3","1","Laboratory Technician","4","Single",3068,0,"No",13,"3","3","0",8,2,"2",7,7,3,6,"Seek","Stay"
44,"Non-Travel","Research & Development",23,"3","Medical",123559,"4","Male","3","1","Laboratory Technician","4","Single",3068,4,"No",12,"4","3","1",17,3,"4",3,2,1,2,"Seek","Stay"
28,"Travel_Rarely","Research & Development",8,"2","Life Sciences",123560,"4","Male","3","1","Laboratory Technician","4","Single",3068,1,"No",21,"3","4","0",5,3,"3",5,3,0,2,"Seek","Stay"
32,"Travel_Frequently","Research & Development",2,"2","Life Sciences",123561,"4","Male","3","1","Laboratory Technician","4","Married",1702,1,"Yes",23,"3","3","1",1,3,"3",1,0,0,0,"Adzuna","Stay"
24,"Travel_Frequently","Research & Development",7,"3","Life Sciences",123562,"4","Male","3","1","Laboratory Technician","4","Single",3068,1,"Yes",16,"4","4","1",6,4,"3",6,3,1,2,"Company Website","Left"
34,"Travel_Frequently","Human Resources",23,"3","Human Resources",123563,"1","Male","3","1","Laboratory Technician","4","Single",3068,0,"No",13,"3","3","0",8,2,"2",7,7,3,6,"Seek","Left"
36,"Travel_Frequently","Research & Development",18,"4","Life Sciences",123564,"4","Male","3","1","Laboratory Technician","4","Single",3068,1,"No",13,"3","1","2",10,3,"3",10,8,0,6,"Jora","Stay"
39,"Non-Travel","Research & Development",2,"3","Life Sciences",123565,"4","Male","3","1","Laboratory Technician","4","Single",3068,4,"No",19,"3","3","1",10,2,"3",6,1,0,5,"Company Website","Left"
32,"Travel_Frequently","Research & Development",2,"2","Life Sciences",123566,"4","Male","3","1","Laboratory Technician","4","Single",3068,1,"No",13,"3","3","0",8,2,"2",7,7,3,6,"Seek","Stay"
34,"Travel_Frequently","Human Resources",23,"3","Other",123567,"1","Male","3","1","Laboratory Technician","4","Single",3068,1,"No",13,"3","3","0",8,2,"2",7,7,3,6,"Seek","Left"
32,"Travel_Frequently","Research & Development",2,"2","Life Sciences",123568,"4","Male","3","1","Laboratory Technician","4","Single",3068,0,"No",13,"3","3","0",8,2,"2",7,7,3,6,"Seek","Stay"
34,"Travel_Frequently","Human Resources",23,"3","Human Resources",123570,"1","Male","3","1","Laboratory Technician","4","Single",3068,0,"No",13,"3","3","0",8,2,"2",7,7,3,6,"Seek","Left"
34,"Travel_Frequently","Human Resources",23,"3","Other",123571,"1","Male","3","1","Laboratory Technician","4","Single",3068,1,"No",13,"3","3","0",8,2,"2",7,7,3,6,"Seek","Left"
59,"Travel_Rarely","Research & Development",3,"3","Medical",123572,"3","Female","4","1","Laboratory Technician","1","Married",2670,4,"Yes",20,"3","1","3",12,3,"2",1,0,0,0,"Seek","Stay"
41,"Travel_Rarely","Human Resources",10,"4","Human Resources",123573,"1","Female","4","1","Laboratory Technician","1","Married",2670,4,"Yes",20,"3","1","3",12,3,"2",1,0,0,0,"Seek","Stay"
59,"Travel_Rarely","Research & Development",3,"3","Life Sciences",123574,"3","Female","4","1","Laboratory Technician","1","Married",2670,1,"Yes",20,"3","1","3",12,3,"2",1,0,0,0,"Seek","Stay"
41,"Travel_Rarely","Human Resources",10,"4","Medical",123575,"1","Female","4","1","Laboratory Technician","1","Married",2670,1,"Yes",20,"3","1","3",12,3,"2",1,0,0,0,"Seek","Stay"
41,"Travel_Rarely","Human Resources",10,"4","Human Resources",123576,"1","Female","4","1","Laboratory Technician","1","Married",2670,4,"Yes",20,"4","1","3",12,3,"2",1,0,0,0,"Seek","Stay"
41,"Travel_Rarely","Human Resources",10,"4","Medical",123577,"1","Female","4","1","Laboratory Technician","1","Married",2670,1,"Yes",20,"4","1","3",12,3,"2",1,0,0,0,"Seek","Stay"
59,"Travel_Rarely","Research & Development",3,"3","Medical",123578,"3","Female","4","1","Laboratory Technician","1","Married",2670,4,"Yes",20,"4","1","3",12,3,"2",1,0,0,0,"Seek","Stay"
59,"Travel_Rarely","Research & Development",3,"3","Life Sciences",123579,"3","Female","4","1","Manufacturing Director","3","Married",6132,1,"No",17,"3","3","0",10,3,"3",0,0,0,0,"Seek","Stay"
59,"Travel_Rarely","Research & Development",3,"3","Medical",123580,"3","Female","4","1","Laboratory Technician","1","Married",2670,4,"Yes",20,"3","1","3",12,3,"2",1,0,0,0,"Seek","Stay"
59,"Travel_Rarely","Research & Development",3,"3","Medical",123581,"3","Male","3","1","Research Scientist","2","Married",2703,0,"No",23,"3","4","1",6,3,"3",5,4,0,4,"Jora","Stay"
37,"Travel_Rarely","Human Resources",6,"4","Human Resources",123582,"3","Female","4","1","Laboratory Technician","1","Married",2670,4,"Yes",22,"3","4","0",7,3,"3",3,2,0,2,"Company Website","Left"
49,"Travel_Frequently","Research & Development",10,"4","Life Sciences",123583,"3","Female","4","1","Laboratory Technician","1","Married",2670,9,"Yes",11,"3","4","0",22,4,"3",3,2,1,2,"Jora","Stay"
59,"Travel_Rarely","Research & Development",3,"3","Medical",123584,"3","Female","3","5","Manager","3","Married",18041,0,"No",14,"3","4","0",21,2,"3",20,15,1,12,"GlassDoor","Stay"
30,"Travel_Frequently","Sales",12,"4","Life Sciences",123585,"3","Female","4","1","Laboratory Technician","1","Married",2670,1,"No",18,"3","3","1",1,2,"4",1,0,0,0,"Company Website","Left"
41,"Travel_Rarely","Human Resources",10,"4","Human Resources",123586,"1","Female","4","1","Laboratory Technician","1","Married",2670,4,"Yes",20,"3","1","3",12,3,"2",1,0,0,0,"Seek","Stay"
41,"Travel_Rarely","Sales",2,"4","Life Sciences",123587,"3","Female","4","1","Laboratory Technician","1","Married",2670,2,"Yes",20,"3","4","1",13,3,"1",7,7,4,5,"LinkedIn","Stay"
31,"Travel_Frequently","Research & Development",1,"5","Life Sciences",123588,"3","Female","4","1","Laboratory Technician","1","Married",2670,9,"No",21,"3","3","1",10,3,"2",5,4,0,1,"Indeed","Left"
59,"Travel_Rarely","Research & Development",3,"3","Life Sciences",123589,"3","Female","4","1","Laboratory Technician","1","Married",2670,1,"Yes",20,"3","1","3",12,3,"2",1,0,0,0,"Seek","Stay"
41,"Travel_Rarely","Human Resources",10,"4","Medical",123590,"1","Female","4","1","Laboratory Technician","1","Married",2670,1,"Yes",20,"3","1","3",12,3,"2",1,0,0,0,"Seek","Stay"
41,"Travel_Rarely","Human Resources",10,"4","Human Resources",123591,"1","Female","4","1","Laboratory Technician","1","Married",2670,4,"Yes",20,"4","1","3",12,3,"2",1,0,0,0,"Seek","Stay"
41,"Travel_Rarely","Human Resources",10,"4","Medical",123592,"1","Female","4","1","Laboratory Technician","1","Married",2670,1,"Yes",20,"4","1","3",12,3,"2",1,0,0,0,"Seek","Stay"
59,"Travel_Rarely","Research & Development",3,"3","Medical",123593,"3","Female","4","1","Laboratory Technician","1","Married",2670,4,"Yes",20,"4","1","3",12,3,"2",1,0,0,0,"Seek","Stay"
30,"Travel_Rarely","Research & Development",24,"1","Life Sciences",123595,"4","Male","3","1","Laboratory Technician","3","Divorced",2693,1,"No",22,"3","2","1",1,2,"3",1,0,0,0,"Seek","Stay"
41,"Travel_Rarely","Human Resources",1,"3","Human Resources",123596,"1","Male","3","1","Laboratory Technician","3","Divorced",2693,1,"No",22,"3","2","1",1,2,"3",1,0,0,0,"Seek","Stay"
41,"Travel_Rarely","Human Resources",1,"3","Life Sciences",123597,"1","Male","3","1","Laboratory Technician","3","Divorced",2693,1,"No",22,"3","2","1",1,2,"3",1,0,0,0,"Seek","Stay"
30,"Travel_Rarely","Research & Development",24,"1","Other",123598,"4","Male","3","1","Laboratory Technician","3","Divorced",2693,1,"No",22,"3","2","1",1,2,"3",1,0,0,0,"Seek","Stay"
30,"Travel_Rarely","Research & Development",24,"1","Life Sciences",123599,"4","Male","3","1","Laboratory Technician","3","Divorced",2693,1,"No",22,"4","2","1",1,2,"3",1,0,0,0,"Seek","Stay"
30,"Travel_Rarely","Research & Development",24,"1","Other",123600,"4","Male","3","1","Laboratory Technician","3","Divorced",2693,1,"No",22,"4","2","1",1,2,"3",1,0,0,0,"LinkedIn","Stay"
41,"Travel_Rarely","Human Resources",1,"3","Human Resources",123601,"1","Male","3","1","Laboratory Technician","3","Divorced",2693,1,"No",22,"4","2","1",1,2,"3",1,0,0,0,"Seek","Stay"
